"grid","design","panel","sd_per_group","group_mean_offsets","eta_h_sq_own","rel_effects","constraint_residual"
"typeI","balanced n, unequal SD",3,"1.0, 1.3, 1.7, 2.2","0, 0, 0, 0",0.00085091873195171,"0.5115, 0.5036, 0.4961, 0.4889",1.11022302462516e-16
"typeI","balanced n, unequal SD",4,"1.0, 1.3, 1.7, 2.2","0, 0, 0, 0",0.00417122439854496,"0.5249, 0.5087, 0.4912, 0.4752",1.11022302462516e-16
"typeI","balanced n, unequal SD",5,"1.0, 1.3, 1.7, 2.2","0, 0, 0, 0",0.0178952109628004,"0.5514, 0.5188, 0.4810, 0.4489",0
"typeI","unbalanced n, equal SD",1,"1.0, 1.0, 1.0, 1.0","0, 0, 0, 0",1.16788597158012e-05,"0.4991, 0.5008, 0.4988, 0.5009",-1.66533453693773e-15
"typeI","unbalanced n, equal SD",2,"1.0, 1.0, 1.0, 1.0","0, 0, 0, 0",5.30430760540874e-06,"0.4995, 0.4991, 0.5009, 0.4999",-6.66133814775094e-16
"typeI","unbalanced n, equal SD",3,"1.0, 1.0, 1.0, 1.0","0, 0, 0, 0",5.18931640440502e-06,"0.5009, 0.4995, 0.5007, 0.4994",5.55111512312578e-16
"typeI","unbalanced n, equal SD",4,"1.0, 1.0, 1.0, 1.0","0, 0, 0, 0",4.9423060053479e-06,"0.5000, 0.4998, 0.5009, 0.4994",-5.55111512312578e-16
"typeI","unbalanced n, equal SD",5,"1.0, 1.0, 1.0, 1.0","0, 0, 0, 0",4.18078199565205e-06,"0.4996, 0.5011, 0.4999, 0.4996",-1.11022302462516e-16
"typeI","unbalanced n, larger n with larger SD",1,"1.0, 1.3, 1.7, 2.2","0, 0, 0, 0",7.08988582093833e-06,"0.5004, 0.4993, 0.4992, 0.5009",-1.11022302462516e-15
"typeI","unbalanced n, larger n with larger SD",2,"1.0, 1.3, 1.7, 2.2","0, 0, 0, 0",6.4702471093629e-07,"0.5003, 0.4996, 0.5000, 0.5001",-1.11022302462516e-16
"typeI","unbalanced n, larger n with larger SD",3,"1.0, 1.3, 1.7, 2.2","0, 0, 0, 0",0.000662675206891369,"0.5145, 0.5063, 0.4991, 0.4925",-1.22124532708767e-15
"typeI","unbalanced n, larger n with larger SD",4,"1.0, 1.3, 1.7, 2.2","0, 0, 0, 0",0.00345471441336781,"0.5311, 0.5152, 0.4993, 0.4821",-1.22124532708767e-15
"typeI","unbalanced n, larger n with larger SD",5,"1.0, 1.3, 1.7, 2.2","0, 0, 0, 0",0.0156793404984226,"0.5641, 0.5341, 0.4989, 0.4613",-1.11022302462516e-16
"typeI","unbalanced n, larger n with smaller SD",1,"2.2, 1.7, 1.3, 1.0","0, 0, 0, 0",3.86308438103342e-06,"0.4994, 0.5011, 0.5000, 0.4997",-1.22124532708767e-15
"typeI","unbalanced n, larger n with smaller SD",2,"2.2, 1.7, 1.3, 1.0","0, 0, 0, 0",3.66804117732853e-06,"0.5004, 0.5003, 0.4992, 0.5004",4.44089209850063e-16
"typeI","unbalanced n, larger n with smaller SD",3,"2.2, 1.7, 1.3, 1.0","0, 0, 0, 0",0.000690722243973173,"0.4862, 0.4926, 0.5011, 0.5077",-5.55111512312578e-17
"typeI","unbalanced n, larger n with smaller SD",4,"2.2, 1.7, 1.3, 1.0","0, 0, 0, 0",0.00400607367781402,"0.4685, 0.4814, 0.5014, 0.5193",0
"typeI","unbalanced n, larger n with smaller SD",5,"2.2, 1.7, 1.3, 1.0","0, 0, 0, 0",0.0154892946534185,"0.4361, 0.4655, 0.5021, 0.5380",0
