"design_set","design","omega_sq_regime","omega_sq","shift_scale","group_mean_offsets","sd_per_group","n_vector","n_per_group","distribution","panel","skew","excess_kurtosis","ps_kw_power","ps_kw_mc_se","ps_ats_power","ps_ats_mc_se","ats_h0p_power","ats_h0p_mc_se"
"brunner","unbalanced n, larger n with smaller SD","het",0.0243282728831862,1,"0.00, 0.25, 0.50, 0.75","2.2361, 2.0000, 1.4142, 1.0000","10, 16, 24, 30",20,"F.P.",5,2,6.6,0.73722,0.00196838345654499,0.38948,0.00218075826078912,0.36722,0.00215578046934283
"brunner","unbalanced n, larger n with smaller SD","het",0.0243282728831862,1,"0.00, 0.25, 0.50, 0.75","2.2361, 2.0000, 1.4142, 1.0000","15, 24, 36, 45",30,"normal",1,0,0,0.3844,0.00217548449776136,0.18558,0.00173862050833412,0.1764,0.00170459989440338
"brunner","unbalanced n, larger n with smaller SD","het",0.0243282728831862,1,"0.00, 0.25, 0.50, 0.75","2.2361, 2.0000, 1.4142, 1.0000","15, 24, 36, 45",30,"F.P.",2,0,6,0.54574,0.00222669195175264,0.30342,0.0020559975856017,0.2934,0.00203625361878131
"brunner","unbalanced n, larger n with smaller SD","het",0.0243282728831862,1,"0.00, 0.25, 0.50, 0.75","2.2361, 2.0000, 1.4142, 1.0000","15, 24, 36, 45",30,"F.P.",3,0.5,1,0.51294,0.0022353190215269,0.25924,0.00195976846795738,0.24658,0.00192758036719614
"brunner","unbalanced n, larger n with smaller SD","het",0.0243282728831862,1,"0.00, 0.25, 0.50, 0.75","2.2361, 2.0000, 1.4142, 1.0000","15, 24, 36, 45",30,"F.P.",4,1,1.6,0.6436,0.00214186386121994,0.33578,0.00211202174041841,0.31714,0.00208116419534836
"brunner","unbalanced n, larger n with smaller SD","het",0.0243282728831862,1,"0.00, 0.25, 0.50, 0.75","2.2361, 2.0000, 1.4142, 1.0000","15, 24, 36, 45",30,"F.P.",5,2,6.6,0.88176,0.0014440173295359,0.58042,0.00220695547576293,0.54714,0.00222610790574042
"brunner","unbalanced n, larger n with smaller SD","het",0.0243282728831862,1,"0.00, 0.25, 0.50, 0.75","2.2361, 2.0000, 1.4142, 1.0000","25, 40, 60, 75",50,"normal",1,0,0,0.54888,0.00222535725491437,0.29062,0.00203056650026538,0.27348,0.00199343266552949
"brunner","unbalanced n, larger n with smaller SD","het",0.0243282728831862,1,"0.00, 0.25, 0.50, 0.75","2.2361, 2.0000, 1.4142, 1.0000","25, 40, 60, 75",50,"F.P.",2,0,6,0.75502,0.00192335539929572,0.49694,0.00223602610181545,0.47838,0.00223397661402263
"brunner","unbalanced n, larger n with smaller SD","het",0.0243282728831862,1,"0.00, 0.25, 0.50, 0.75","2.2361, 2.0000, 1.4142, 1.0000","25, 40, 60, 75",50,"F.P.",3,0.5,1,0.71324,0.00202251676086998,0.4262,0.00221157663217895,0.40434,0.00219476269514497
"brunner","unbalanced n, larger n with smaller SD","het",0.0243282728831862,1,"0.00, 0.25, 0.50, 0.75","2.2361, 2.0000, 1.4142, 1.0000","25, 40, 60, 75",50,"F.P.",4,1,1.6,0.8448,0.00161933912445788,0.55696,0.00222151101010101,0.52826,0.00223249354937478
"brunner","unbalanced n, larger n with smaller SD","het",0.0243282728831862,1,"0.00, 0.25, 0.50, 0.75","2.2361, 2.0000, 1.4142, 1.0000","25, 40, 60, 75",50,"F.P.",5,2,6.6,0.98016,0.00062364051183354,0.84564,0.00161575363468568,0.81936,0.00172051847069423
"brunner","unbalanced n, larger n with smaller SD","het",0.0243282728831862,1,"0.00, 0.25, 0.50, 0.75","2.2361, 2.0000, 1.4142, 1.0000","50, 80, 120, 150",100,"normal",1,0,0,0.82408,0.00170277510904993,0.56674,0.00221605853893799,0.54078,0.00222861836840676
"brunner","unbalanced n, larger n with smaller SD","het",0.0243282728831862,1,"0.00, 0.25, 0.50, 0.75","2.2361, 2.0000, 1.4142, 1.0000","50, 80, 120, 150",100,"F.P.",2,0,6,0.96262,0.00084832465011928,0.84126,0.00163426810774732,0.8264,0.00169388925257822
"brunner","unbalanced n, larger n with smaller SD","het",0.0243282728831862,1,"0.00, 0.25, 0.50, 0.75","2.2361, 2.0000, 1.4142, 1.0000","50, 80, 120, 150",100,"F.P.",3,0.5,1,0.9416,0.00104870815768735,0.76496,0.00189629216314364,0.74108,0.00195898153947402
"brunner","unbalanced n, larger n with smaller SD","het",0.0243282728831862,1,"0.00, 0.25, 0.50, 0.75","2.2361, 2.0000, 1.4142, 1.0000","50, 80, 120, 150",100,"F.P.",4,1,1.6,0.98594,0.000526541857785304,0.8929,0.0013829648585557,0.87532,0.0014773956653517
"brunner","unbalanced n, larger n with smaller SD","het",0.0243282728831862,1,"0.00, 0.25, 0.50, 0.75","2.2361, 2.0000, 1.4142, 1.0000","50, 80, 120, 150",100,"F.P.",5,2,6.6,0.99988,4.89868553797871e-05,0.9955,0.000299324238911584,0.99342,0.000361571669244149
"brunner","unbalanced n, larger n with smaller SD","het",0.0243282728831862,1,"0.00, 0.25, 0.50, 0.75","2.2361, 2.0000, 1.4142, 1.0000","100, 160, 240, 300",200,"normal",1,0,0,0.98114,0.000608346947062283,0.89048,0.00139660566803948,0.8756,0.00147597181544906
"brunner","unbalanced n, larger n with smaller SD","het",0.0243282728831862,1,"0.00, 0.25, 0.50, 0.75","2.2361, 2.0000, 1.4142, 1.0000","100, 160, 240, 300",200,"F.P.",2,0,6,0.99952,9.79560717873105e-05,0.99356,0.000357729685656642,0.99208,0.00039641578172419
"brunner","unbalanced n, larger n with smaller SD","het",0.0243282728831862,1,"0.00, 0.25, 0.50, 0.75","2.2361, 2.0000, 1.4142, 1.0000","100, 160, 240, 300",200,"F.P.",3,0.5,1,0.99874,0.000158645037741496,0.9814,0.000604219165535155,0.97736,0.00066524326978933
"brunner","unbalanced n, larger n with smaller SD","het",0.0243282728831862,1,"0.00, 0.25, 0.50, 0.75","2.2361, 2.0000, 1.4142, 1.0000","100, 160, 240, 300",200,"F.P.",4,1,1.6,0.99998,1.999979999901e-05,0.99812,0.000193724835785193,0.9974,0.000227738446468753
"brunner","unbalanced n, larger n with smaller SD","het",0.0243282728831862,1,"0.00, 0.25, 0.50, 0.75","2.2361, 2.0000, 1.4142, 1.0000","100, 160, 240, 300",200,"F.P.",5,2,6.6,1,0,1,0,1,0
