"design","effect_size","group_mean_offsets","sd_per_group","n_vector","n_per_group","distribution","panel","skew","excess_kurtosis","rank_power","ats_h0p_power","ats_h0p_mc_se"
"balanced n, unequal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","1.0, 1.3, 1.7, 2.2","10, 10, 10, 10",10,"F.P.",2,0,6,0.38018,0.3687,0.00215759268630574
"balanced n, unequal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","1.0, 1.3, 1.7, 2.2","10, 10, 10, 10",10,"F.P.",3,0.5,1,0.22524,0.22042,0.00185383399256784
"balanced n, unequal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","1.0, 1.3, 1.7, 2.2","10, 10, 10, 10",10,"F.P.",4,1,1.6,0.18634,0.18578,0.00173934350603899
"balanced n, unequal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","1.0, 1.3, 1.7, 2.2","10, 10, 10, 10",10,"F.P.",5,2,6.6,0.22542,0.22736,0.00187439286383618
"balanced n, unequal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","1.0, 1.3, 1.7, 2.2","20, 20, 20, 20",20,"normal",1,0,0,0.48944,0.47546,0.00223337318153505
"balanced n, unequal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","1.0, 1.3, 1.7, 2.2","20, 20, 20, 20",20,"F.P.",2,0,6,0.72798,0.71544,0.00201784839073702
"balanced n, unequal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","1.0, 1.3, 1.7, 2.2","20, 20, 20, 20",20,"F.P.",3,0.5,1,0.4639,0.45504,0.00222700964703793
"balanced n, unequal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","1.0, 1.3, 1.7, 2.2","20, 20, 20, 20",20,"F.P.",4,1,1.6,0.38888,0.38564,0.00217679484747645
"balanced n, unequal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","1.0, 1.3, 1.7, 2.2","20, 20, 20, 20",20,"F.P.",5,2,6.6,0.46274,0.46404,0.00223027746435281
"balanced n, unequal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","1.0, 1.3, 1.7, 2.2","30, 30, 30, 30",30,"normal",1,0,0,0.69068,0.67626,0.00209252198268023
"balanced n, unequal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","1.0, 1.3, 1.7, 2.2","30, 30, 30, 30",30,"F.P.",2,0,6,0.90308,0.89652,0.0013621445562054
"balanced n, unequal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","1.0, 1.3, 1.7, 2.2","30, 30, 30, 30",30,"F.P.",3,0.5,1,0.66748,0.6516,0.00213080942366979
"balanced n, unequal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","1.0, 1.3, 1.7, 2.2","30, 30, 30, 30",30,"F.P.",4,1,1.6,0.57674,0.56328,0.00221808765201017
"balanced n, unequal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","1.0, 1.3, 1.7, 2.2","30, 30, 30, 30",30,"F.P.",5,2,6.6,0.65854,0.66412,0.00211217719711202
"balanced n, unequal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","1.0, 1.3, 1.7, 2.2","50, 50, 50, 50",50,"normal",1,0,0,0.91408,0.90392,0.00131794259055545
"balanced n, unequal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","1.0, 1.3, 1.7, 2.2","50, 50, 50, 50",50,"F.P.",2,0,6,0.99178,0.99052,0.000433361964182369
"balanced n, unequal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","1.0, 1.3, 1.7, 2.2","50, 50, 50, 50",50,"F.P.",3,0.5,1,0.89402,0.88944,0.00140240141471691
"balanced n, unequal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","1.0, 1.3, 1.7, 2.2","50, 50, 50, 50",50,"F.P.",4,1,1.6,0.82334,0.8151,0.00173615661735916
"balanced n, unequal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","1.0, 1.3, 1.7, 2.2","50, 50, 50, 50",50,"F.P.",5,2,6.6,0.8947,0.89208,0.00138761142687714
"balanced n, unequal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","1.0, 1.3, 1.7, 2.2","100, 100, 100, 100",100,"normal",1,0,0,0.99848,0.9983,0.000184234090222197
"balanced n, unequal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","1.0, 1.3, 1.7, 2.2","100, 100, 100, 100",100,"F.P.",2,0,6,1,1,0
"balanced n, unequal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","1.0, 1.3, 1.7, 2.2","100, 100, 100, 100",100,"F.P.",3,0.5,1,0.99736,0.9974,0.000227738446468753
"balanced n, unequal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","1.0, 1.3, 1.7, 2.2","100, 100, 100, 100",100,"F.P.",4,1,1.6,0.99016,0.98948,0.000456274689195006
