"design","mean_n_per_group","n_per_group","sd_per_group","distribution","panel","skew","excess_kurtosis","rank_null_true","rank_rejection","ps_kw_rejection","ps_kw_mc_se","ps_ats_rejection","ps_ats_mc_se"
"unbalanced n, larger n with larger SD",30,"15, 24, 36, 45","1.0, 1.3, 1.7, 2.2","F.P.",5,2,6.6,FALSE,0.13808,0.14084,0.0015556612381878,0.18434,0.00173412089774618
"unbalanced n, larger n with smaller SD",30,"15, 24, 36, 45","2.2, 1.7, 1.3, 1.0","normal",1,0,0,TRUE,0.08354,0.11624,0.00143337547348906,0.05742,0.00104041283729104
"unbalanced n, larger n with smaller SD",30,"15, 24, 36, 45","2.2, 1.7, 1.3, 1.0","F.P.",2,0,6,TRUE,0.07586,0.1063,0.00137840712418356,0.05892,0.00105307581493452
"unbalanced n, larger n with smaller SD",30,"15, 24, 36, 45","2.2, 1.7, 1.3, 1.0","F.P.",3,0.5,1,FALSE,0.08684,0.12342,0.00147096909280923,0.06316,0.00108784938663401
"unbalanced n, larger n with smaller SD",30,"15, 24, 36, 45","2.2, 1.7, 1.3, 1.0","F.P.",4,1,1.6,FALSE,0.11542,0.1629,0.00165144536694376,0.0776,0.00119648017116875
"unbalanced n, larger n with smaller SD",30,"15, 24, 36, 45","2.2, 1.7, 1.3, 1.0","F.P.",5,2,6.6,FALSE,0.22934,0.30992,0.00206818564737308,0.1373,0.00153914723142395
"balanced n, equal SD",50,"50, 50, 50, 50","1.0, 1.0, 1.0, 1.0","normal",1,0,0,TRUE,0.0509,0.04968,0.000971719070513695,0.05036,0.000977996629851044
"balanced n, equal SD",50,"50, 50, 50, 50","1.0, 1.0, 1.0, 1.0","F.P.",2,0,6,TRUE,0.04798,0.0504,0.000978364349309601,0.05124,0.000986047284870254
"balanced n, equal SD",50,"50, 50, 50, 50","1.0, 1.0, 1.0, 1.0","F.P.",3,0.5,1,FALSE,0.04654,0.04936,0.000968747546061408,0.05024,0.000976892444437974
"balanced n, equal SD",50,"50, 50, 50, 50","1.0, 1.0, 1.0, 1.0","F.P.",4,1,1.6,FALSE,0.05094,0.0506,0.000980200387675908,0.0514,0.000987502303794781
"balanced n, equal SD",50,"50, 50, 50, 50","1.0, 1.0, 1.0, 1.0","F.P.",5,2,6.6,FALSE,0.05074,0.05052,0.000979466483346929,0.0514,0.000987502303794781
"balanced n, unequal SD",50,"50, 50, 50, 50","1.0, 1.3, 1.7, 2.2","normal",1,0,0,TRUE,0.05534,0.05434,0.00101377674465338,0.05168,0.000990042197080508
"balanced n, unequal SD",50,"50, 50, 50, 50","1.0, 1.3, 1.7, 2.2","F.P.",2,0,6,TRUE,0.05234,0.05228,0.000995457699754239,0.05098,0.000983677178753274
"balanced n, unequal SD",50,"50, 50, 50, 50","1.0, 1.3, 1.7, 2.2","F.P.",3,0.5,1,FALSE,0.06312,0.0647,0.00110012644727777,0.06214,0.00107961678756863
"balanced n, unequal SD",50,"50, 50, 50, 50","1.0, 1.3, 1.7, 2.2","F.P.",4,1,1.6,FALSE,0.10868,0.107,0.0013823964699029,0.10202,0.00135360200649969
"balanced n, unequal SD",50,"50, 50, 50, 50","1.0, 1.3, 1.7, 2.2","F.P.",5,2,6.6,FALSE,0.32144,0.31578,0.00207876401546688,0.30266,0.00205454094337397
"unbalanced n, equal SD",50,"25, 40, 60, 75","1.0, 1.0, 1.0, 1.0","normal",1,0,0,TRUE,0.0478,0.0603,0.00106455540015539,0.0501,0.000975602275520101
"unbalanced n, equal SD",50,"25, 40, 60, 75","1.0, 1.0, 1.0, 1.0","F.P.",2,0,6,TRUE,0.04926,0.061,0.00107031770984133,0.0501,0.000975602275520101
"unbalanced n, equal SD",50,"25, 40, 60, 75","1.0, 1.0, 1.0, 1.0","F.P.",3,0.5,1,FALSE,0.0491,0.06012,0.0010630671248797,0.04956,0.000970606062210617
"unbalanced n, equal SD",50,"25, 40, 60, 75","1.0, 1.0, 1.0, 1.0","F.P.",4,1,1.6,FALSE,0.0489,0.06156,0.00107489875244136,0.04876,0.000963145496796824
"unbalanced n, equal SD",50,"25, 40, 60, 75","1.0, 1.0, 1.0, 1.0","F.P.",5,2,6.6,FALSE,0.05086,0.06178,0.00107669152128175,0.04988,0.000973570599391744
