"alternative","n_per_group","delta","panel","skew","excess_kurtosis","group_means","fisher_power","welch_power","mean_power","rank_power","sw_power","gate_power","rank_mc_se"
"onepoint",50,0.6,1,0,0,"0.000, 0.000, 0.000, 0.600",0.87376,0.867259999999999,0.87336,0.85382,0.867399999999999,0.87318,0.00157994561678559
"onepoint",50,0.6,2,0,6,"0.000, 0.000, 0.000, 0.600",0.8747,0.87184,0.87488,0.97096,0.97056,0.97066,0.000750955103851091
"onepoint",50,0.6,3,0.5,1,"0.000, 0.000, 0.000, 0.600",0.87962,0.885960000000001,0.88144,0.89996,0.90002,0.89954,0.00134187926729643
"onepoint",50,0.6,4,1,1.6,"0.000, 0.000, 0.000, 0.600",0.880019999999999,0.90276,0.88522,0.9332,0.9332,0.9332,0.00111658192713298
"onepoint",50,0.6,5,2,6.6,"0.000, 0.000, 0.000, 0.600",0.87842,0.9286,0.893800000000001,0.9963,0.9963,0.9963,0.00027152568939236
"onepoint",50,0.8,1,0,0,"0.000, 0.000, 0.000, 0.800",0.9895,0.98738,0.98944,0.985,0.9873,0.98918,0.000543599116997072
"onepoint",50,0.8,2,0,6,"0.000, 0.000, 0.000, 0.800",0.98614,0.98218,0.98556,0.99942,0.99938,0.99936,0.000107672057656563
"onepoint",50,0.8,3,0.5,1,"0.000, 0.000, 0.000, 0.800",0.99008,0.9919,0.99052,0.99332,0.99338,0.99326,0.000364290477503871
"onepoint",50,0.8,4,1,1.6,"0.000, 0.000, 0.000, 0.800",0.99112,0.99538,0.9923,0.9974,0.9974,0.9974,0.000227738446468748
"onepoint",50,0.8,5,2,6.6,"0.000, 0.000, 0.000, 0.800",0.9903,0.99756,0.99368,1,1,1,0
"onepoint",50,1,1,0,0,"0.000, 0.000, 0.000, 1.000",0.99976,0.99974,0.99974,0.99958,0.99974,0.99974,9.1632265059855e-05
"onepoint",50,1,2,0,6,"0.000, 0.000, 0.000, 1.000",0.99916,0.99828,0.99906,0.99998,0.99998,0.99998,1.999979999901e-05
"onepoint",50,1,3,0.5,1,"0.000, 0.000, 0.000, 1.000",0.99978,0.99978,0.99978,0.99988,0.99986,0.99986,4.89868553797871e-05
"onepoint",50,1,4,1,1.6,"0.000, 0.000, 0.000, 1.000",0.99988,0.99998,0.99992,0.99998,0.99998,0.99998,1.999979999901e-05
"onepoint",50,1,5,2,6.6,"0.000, 0.000, 0.000, 1.000",0.99976,0.99998,0.99984,1,1,1,0
"onepoint",50,1.2,1,0,0,"0.000, 0.000, 0.000, 1.200",1,1,1,1,1,1,0
"onepoint",50,1.2,2,0,6,"0.000, 0.000, 0.000, 1.200",1,0.99992,1,1,1,1,0
"onepoint",50,1.2,3,0.5,1,"0.000, 0.000, 0.000, 1.200",1,1,1,1,1,1,0
"onepoint",50,1.2,4,1,1.6,"0.000, 0.000, 0.000, 1.200",1,1,1,1,1,1,0
"onepoint",50,1.2,5,2,6.6,"0.000, 0.000, 0.000, 1.200",1,1,1,1,1,1,0
"onepoint",50,1.4,1,0,0,"0.000, 0.000, 0.000, 1.400",1,1,1,1,1,1,0
"onepoint",50,1.4,2,0,6,"0.000, 0.000, 0.000, 1.400",1,1,1,1,1,1,0
"onepoint",50,1.4,3,0.5,1,"0.000, 0.000, 0.000, 1.400",1,1,1,1,1,1,0
"onepoint",50,1.4,4,1,1.6,"0.000, 0.000, 0.000, 1.400",1,1,1,1,1,1,0
"onepoint",50,1.4,5,2,6.6,"0.000, 0.000, 0.000, 1.400",1,1,1,1,1,1,0
"onepoint",50,1.6,1,0,0,"0.000, 0.000, 0.000, 1.600",1,1,1,1,1,1,0
"onepoint",50,1.6,2,0,6,"0.000, 0.000, 0.000, 1.600",1,1,1,1,1,1,0
"onepoint",50,1.6,3,0.5,1,"0.000, 0.000, 0.000, 1.600",1,1,1,1,1,1,0
"onepoint",50,1.6,4,1,1.6,"0.000, 0.000, 0.000, 1.600",1,1,1,1,1,1,0
"onepoint",50,1.6,5,2,6.6,"0.000, 0.000, 0.000, 1.600",1,1,1,1,1,1,0
"onepoint",100,0,1,0,0,"0.000, 0.000, 0.000, 0.000",0.0504800000000007,0.0502599999999994,0.0505400000000011,0.0492600000000008,0.0505800000000021,0.0507799999999982,0.000967816639658574
"onepoint",100,0,2,0,6,"0.000, 0.000, 0.000, 0.000",0.0510199999999998,0.04868,0.0509600000000001,0.05112,0.05112,0.05112,0.000984954268989175
"onepoint",100,0,3,0.5,1,"0.000, 0.000, 0.000, 0.000",0.0493000000000002,0.0494200000000004,0.0493000000000003,0.0487799999999995,0.0494000000000003,0.0495000000000001,0.000963332877047177
"onepoint",100,0,4,1,1.6,"0.000, 0.000, 0.000, 0.000",0.0500400000000004,0.0506599999999995,0.0504200000000001,0.0496400000000011,0.0496400000000011,0.0496400000000011,0.000971348242393026
"onepoint",100,0,5,2,6.6,"0.000, 0.000, 0.000, 0.000",0.0485999999999996,0.05286,0.05076,0.0505599999999996,0.0505599999999996,0.0505599999999996,0.000979833520553361
"onepoint",100,0.2,1,0,0,"0.000, 0.000, 0.000, 0.200",0.272099999999999,0.27016,0.272740000000001,0.256339999999999,0.27032,0.27282,0.00195258702443707
"onepoint",100,0.2,2,0,6,"0.000, 0.000, 0.000, 0.200",0.274939999999999,0.280800000000001,0.275760000000001,0.412960000000001,0.412960000000001,0.412960000000001,0.00220192660368142
"onepoint",100,0.2,3,0.5,1,"0.000, 0.000, 0.000, 0.200",0.27206,0.27322,0.27298,0.28762,0.28878,0.28878,0.0020243257425622
"onepoint",100,0.2,4,1,1.6,"0.000, 0.000, 0.000, 0.200",0.276840000000001,0.27956,0.27804,0.314479999999999,0.314479999999999,0.314479999999999,0.00207645047906277
"onepoint",100,0.2,5,2,6.6,"0.000, 0.000, 0.000, 0.200",0.273580000000001,0.285639999999999,0.280960000000002,0.53432,0.53432,0.53432,0.00223079419758973
"onepoint",100,0.4,1,0,0,"0.000, 0.000, 0.000, 0.400",0.83482,0.83154,0.83478,0.813900000000001,0.8312,0.834360000000001,0.00174049872163124
"onepoint",100,0.4,2,0,6,"0.000, 0.000, 0.000, 0.400",0.837439999999999,0.838500000000001,0.837619999999999,0.96004,0.96004,0.96004,0.000875936052460447
"onepoint",100,0.4,3,0.5,1,"0.000, 0.000, 0.000, 0.400",0.83822,0.84454,0.83992,0.86368,0.86432,0.86432,0.00153451528242635
"onepoint",100,0.4,4,1,1.6,"0.000, 0.000, 0.000, 0.400",0.83692,0.85628,0.840880000000001,0.89882,0.89882,0.89882,0.00134864826845253
