"design","n_per_group","n_vector","multipliers","sd_per_group","shifts","panel","distribution","skew","excess_kurtosis","omega_sq","eta_h_sq","ps_kw_power","ps_kw_mc_se","ps_ats_power","ps_ats_mc_se"
"unbalanced, descending",10,"15, 12, 8, 5","1.5, 1.2, 0.8, 0.5","1, 1, 1, 1","0, 0.25, 0.5, 0.75",2,"F.P.",0,6,0.0626487495880781,0.117447176307568,0.36898,0.00215793308329985,0.28918,0.00202758441303932
"unbalanced, descending",10,"15, 12, 8, 5","1.5, 1.2, 0.8, 0.5","1, 1, 1, 1","0, 0.25, 0.5, 0.75",3,"F.P.",0.5,1,0.0626487495880781,0.0739395861564376,0.26212,0.00196678979863126,0.20924,0.00181911309379049
"unbalanced, descending",10,"15, 12, 8, 5","1.5, 1.2, 0.8, 0.5","1, 1, 1, 1","0, 0.25, 0.5, 0.75",4,"F.P.",1,1.6,0.0626487495880781,0.0585650484103574,0.2669,0.00197820317460063,0.22842,0.0018774679949336
"unbalanced, descending",10,"15, 12, 8, 5","1.5, 1.2, 0.8, 0.5","1, 1, 1, 1","0, 0.25, 0.5, 0.75",5,"F.P.",2,6.6,0.0626487495880781,0.0960255188924491,0.37414,0.00216406682151915,0.37674,0.00216705778603156
"unbalanced, descending",20,"30, 24, 16, 10","1.5, 1.2, 0.8, 0.5","1, 1, 1, 1","0, 0.25, 0.5, 0.75",1,"normal",0,0,0.0626487495880781,0.0960166111848258,0.49008,0.00223562784738426,0.37666,0.00216696674824511
"unbalanced, descending",20,"30, 24, 16, 10","1.5, 1.2, 0.8, 0.5","1, 1, 1, 1","0, 0.25, 0.5, 0.75",2,"F.P.",0,6,0.0626487495880781,0.0662336887503997,0.68278,0.00208130474270348,0.55516,0.00222241928717333
"unbalanced, descending",20,"30, 24, 16, 10","1.5, 1.2, 0.8, 0.5","1, 1, 1, 1","0, 0.25, 0.5, 0.75",3,"F.P.",0.5,1,0.0626487495880781,0.0875838331992361,0.5184,0.0022345533781944,0.42222,0.00220884708207698
"unbalanced, descending",20,"30, 24, 16, 10","1.5, 1.2, 0.8, 0.5","1, 1, 1, 1","0, 0.25, 0.5, 0.75",4,"F.P.",1,1.6,0.0626487495880781,0.0541908624642412,0.53872,0.00222935309720107,0.47582,0.00223345171248451
"unbalanced, descending",20,"30, 24, 16, 10","1.5, 1.2, 0.8, 0.5","1, 1, 1, 1","0, 0.25, 0.5, 0.75",5,"F.P.",2,6.6,0.0626487495880781,0.144786992096091,0.73608,0.00197112269328928,0.7526,0.00192973179483575
"unbalanced, descending",30,"45, 36, 24, 15","1.5, 1.2, 0.8, 0.5","1, 1, 1, 1","0, 0.25, 0.5, 0.75",1,"normal",0,0,0.0626487495880781,0.0647264721802674,0.67784,0.00208984657044483,0.55718,0.00222139797244888
"unbalanced, descending",30,"45, 36, 24, 15","1.5, 1.2, 0.8, 0.5","1, 1, 1, 1","0, 0.25, 0.5, 0.75",2,"F.P.",0,6,0.0626487495880781,0.063242864054981,0.86766,0.00151542815336129,0.76878,0.00188550954174197
"unbalanced, descending",30,"45, 36, 24, 15","1.5, 1.2, 0.8, 0.5","1, 1, 1, 1","0, 0.25, 0.5, 0.75",3,"F.P.",0.5,1,0.0626487495880781,0.0740371714906461,0.71728,0.00201389871443427,0.62368,0.00216657913587295
"unbalanced, descending",30,"45, 36, 24, 15","1.5, 1.2, 0.8, 0.5","1, 1, 1, 1","0, 0.25, 0.5, 0.75",4,"F.P.",1,1.6,0.0626487495880781,0.0555864092230813,0.74856,0.00194019548705794,0.69148,0.00206560116963561
"unbalanced, descending",30,"45, 36, 24, 15","1.5, 1.2, 0.8, 0.5","1, 1, 1, 1","0, 0.25, 0.5, 0.75",5,"F.P.",2,6.6,0.0626487495880781,0.095451740139916,0.91294,0.0012607978140844,0.92368,0.00118739426981942
"unbalanced, descending",50,"75, 60, 40, 25","1.5, 1.2, 0.8, 0.5","1, 1, 1, 1","0, 0.25, 0.5, 0.75",1,"normal",0,0,0.0626487495880781,0.064806388067444,0.89376,0.00137806431199709,0.81454,0.00173818634444066
"unbalanced, descending",50,"75, 60, 40, 25","1.5, 1.2, 0.8, 0.5","1, 1, 1, 1","0, 0.25, 0.5, 0.75",2,"F.P.",0,6,0.0626487495880781,0.0575467537045399,0.98046,0.000619002235860259,0.95294,0.000947051808508911
"unbalanced, descending",50,"75, 60, 40, 25","1.5, 1.2, 0.8, 0.5","1, 1, 1, 1","0, 0.25, 0.5, 0.75",3,"F.P.",0.5,1,0.0626487495880781,0.0672699850885199,0.92108,0.00120574983806758,0.8681,0.00151329038852429
"unbalanced, descending",50,"75, 60, 40, 25","1.5, 1.2, 0.8, 0.5","1, 1, 1, 1","0, 0.25, 0.5, 0.75",4,"F.P.",1,1.6,0.0626487495880781,0.0825803291680785,0.93836,0.00107555111826449,0.91336,0.00125804221232835
"unbalanced, descending",50,"75, 60, 40, 25","1.5, 1.2, 0.8, 0.5","1, 1, 1, 1","0, 0.25, 0.5, 0.75",5,"F.P.",2,6.6,0.0626487495880781,0.105493496842044,0.99434,0.000335498566315864,0.9955,0.000299324238911584
"unbalanced, descending",100,"150, 120, 80, 50","1.5, 1.2, 0.8, 0.5","1, 1, 1, 1","0, 0.25, 0.5, 0.75",1,"normal",0,0,0.0626487495880781,0.0566518535346051,0.99614,0.000277312112970205,0.98944,0.000457132068444121
"unbalanced, descending",100,"150, 120, 80, 50","1.5, 1.2, 0.8, 0.5","1, 1, 1, 1","0, 0.25, 0.5, 0.75",2,"F.P.",0,6,0.0626487495880781,0.112664616818487,0.99992,3.9998399967991e-05,0.99964,8.48375388610522e-05
"unbalanced, descending",100,"150, 120, 80, 50","1.5, 1.2, 0.8, 0.5","1, 1, 1, 1","0, 0.25, 0.5, 0.75",3,"F.P.",0.5,1,0.0626487495880781,0.0715880933322198,0.99848,0.000174223396821435,0.99582,0.000288531717493934
"unbalanced, descending",100,"150, 120, 80, 50","1.5, 1.2, 0.8, 0.5","1, 1, 1, 1","0, 0.25, 0.5, 0.75",4,"F.P.",1,1.6,0.0626487495880781,0.0349468924679577,0.99942,0.000107672057656574,0.99872,0.000159897567211008
"unbalanced, descending",100,"150, 120, 80, 50","1.5, 1.2, 0.8, 0.5","1, 1, 1, 1","0, 0.25, 0.5, 0.75",5,"F.P.",2,6.6,0.0626487495880781,0.118993296234999,1,0,1,0
"unbalanced, descending",200,"300, 240, 160, 100","1.5, 1.2, 0.8, 0.5","1, 1, 1, 1","0, 0.25, 0.5, 0.75",1,"normal",0,0,0.0626487495880781,0.0753783018655231,1,0,1,0
"unbalanced, descending",200,"300, 240, 160, 100","1.5, 1.2, 0.8, 0.5","1, 1, 1, 1","0, 0.25, 0.5, 0.75",2,"F.P.",0,6,0.0626487495880781,0.0800678165229236,1,0,1,0
"unbalanced, descending",200,"300, 240, 160, 100","1.5, 1.2, 0.8, 0.5","1, 1, 1, 1","0, 0.25, 0.5, 0.75",3,"F.P.",0.5,1,0.0626487495880781,0.0787454725347244,1,0,1,0
"unbalanced, descending",200,"300, 240, 160, 100","1.5, 1.2, 0.8, 0.5","1, 1, 1, 1","0, 0.25, 0.5, 0.75",4,"F.P.",1,1.6,0.0626487495880781,0.0733232578995951,1,0,1,0
"unbalanced, descending",200,"300, 240, 160, 100","1.5, 1.2, 0.8, 0.5","1, 1, 1, 1","0, 0.25, 0.5, 0.75",5,"F.P.",2,6.6,0.0626487495880781,0.152181911204352,1,0,1,0
