"design","effect_size","shift_scale","eta_h_sq","omega_sq","group_mean_offsets","sd_per_group","n_vector","n_per_group","distribution","panel","skew","excess_kurtosis","fisher_power","welch_power","mean_power","rank_power","sw_power","gate_power","fisher_mc_se","welch_mc_se","mean_mc_se","rank_mc_se","sw_mc_se","gate_mc_se","route_fisher_probability","route_welch_probability","route_rank_probability"
"unbalanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD (eta_H^2 fixed)",1.08606710202999,0.0708739124478115,0.0730748648185426,"0.0000, 0.2715, 0.5430, 0.8146","1.0, 1.0, 1.0, 1.0","15, 24, 36, 45",30,"normal",1,0,0,0.71766,0.69614,0.71716,0.6877,0.69696,0.7174,0.00201307786436591,0.00205683786624031,0.00201415756285351,0.0020725284557757,0.00205527009611876,0.00201363968971611,0.8967,0.05424,0.04906
"unbalanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD (eta_H^2 fixed)",0.862633538305991,0.0708722415840418,0.0473786864915199,"0.0000, 0.2157, 0.4313, 0.6470","1.0, 1.0, 1.0, 1.0","15, 24, 36, 45",30,"F.P.",2,0,6,0.51366,0.53826,0.51592,0.68824,0.6842,0.68516,0.00223523334083939,0.00222951193044576,0.00223493424332798,0.00207154870760984,0.00207879946122756,0.0020770930378777,0.10088,0.00628,0.89284
"unbalanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD (eta_H^2 fixed)",1.03318922613287,0.0708730393286795,0.0665947540370122,"0.0000, 0.2583, 0.5166, 0.7749","1.0, 1.0, 1.0, 1.0","15, 24, 36, 45",30,"F.P.",3,0.5,1,0.67076,0.66674,0.6718,0.6866,0.68862,0.69498,0.00210162328879369,0.0021080691278988,0.00209992742731743,0.00207451411178618,0.0020708572891438,0.00205904249397627,0.52008,0.0368,0.44312
"unbalanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD (eta_H^2 fixed)",0.988859229326836,0.0708731759388011,0.0613457708525237,"0.0000, 0.2472, 0.4944, 0.7416","1.0, 1.0, 1.0, 1.0","15, 24, 36, 45",30,"F.P.",4,1,1.6,0.63568,0.64012,0.63908,0.68974,0.69052,0.69104,0.00215216606050741,0.00214646866084739,0.00214782100557751,0.00206880995937278,0.00206737577426069,0.00206641582649766,0.03694,0.00578,0.95728
"unbalanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD (eta_H^2 fixed)",0.76540292101895,0.0708721929046365,0.0376799075389646,"0.0000, 0.1914, 0.3827, 0.5741","1.0, 1.0, 1.0, 1.0","15, 24, 36, 45",30,"F.P.",5,2,6.6,0.43212,0.4993,0.44634,0.69494,0.69494,0.69494,0.00221536590928,0.0022360657861521,0.00222315363571661,0.00205911824041263,0.00205911824041263,0.00205911824041263,0,0,1
"unbalanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD (eta_H^2 fixed)",1.08606710202999,0.0708739124478115,0.0730748648185426,"0.0000, 0.2715, 0.5430, 0.8146","1.0, 1.0, 1.0, 1.0","25, 40, 60, 75",50,"normal",1,0,0,0.9279,0.91922,0.92732,0.9111,0.91932,0.92698,0.00115673324496186,0.00121864343923889,0.0011610135020748,0.00127276698574405,0.00121795515188368,0.00116351260929996,0.8987,0.0521,0.0492
"unbalanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD (eta_H^2 fixed)",0.862633538305991,0.0708722415840418,0.0473786864915199,"0.0000, 0.2157, 0.4313, 0.6470","1.0, 1.0, 1.0, 1.0","25, 40, 60, 75",50,"F.P.",2,0,6,0.74964,0.76428,0.75096,0.90964,0.90912,0.90918,0.00193742029719935,0.00189818904011165,0.00193400661012314,0.00128214718655855,0.00128546353973965,0.00128508153515643,0.01388,0.00072,0.9854
"unbalanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD (eta_H^2 fixed)",1.03318922613287,0.0708730393286795,0.0665947540370122,"0.0000, 0.2583, 0.5166, 0.7749","1.0, 1.0, 1.0, 1.0","25, 40, 60, 75",50,"F.P.",3,0.5,1,0.89722,0.88928,0.89656,0.9098,0.90886,0.91164,0.00135805943610727,0.0014032895752481,0.00136191164471121,0.00128112419382353,0.00128711693641254,0.00126927152650644,0.33214,0.0246,0.64326
"unbalanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD (eta_H^2 fixed)",0.988859229326836,0.0708731759388011,0.0613457708525237,"0.0000, 0.2472, 0.4944, 0.7416","1.0, 1.0, 1.0, 1.0","25, 40, 60, 75",50,"F.P.",4,1,1.6,0.86708,0.86008,0.8674,0.90702,0.90706,0.9071,0.00151823762040071,0.00155140190537462,0.00151668876174382,0.00129872798999637,0.00129847723430178,0.00129822640552409,0.00098,2e-04,0.99882
"unbalanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD (eta_H^2 fixed)",0.76540292101895,0.0708721929046365,0.0376799075389646,"0.0000, 0.1914, 0.3827, 0.5741","1.0, 1.0, 1.0, 1.0","25, 40, 60, 75",50,"F.P.",5,2,6.6,0.65228,0.68022,0.66086,0.90366,0.90366,0.90366,0.00212983943807978,0.00208576485539478,0.00211718709801472,0.00131953479984425,0.00131953479984425,0.00131953479984425,0,0,1
"unbalanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD (eta_H^2 fixed)",1.08606710202999,0.0708739124478115,0.0730748648185426,"0.0000, 0.2715, 0.5430, 0.8146","1.0, 1.0, 1.0, 1.0","50, 80, 120, 150",100,"normal",1,0,0,0.99896,0.99896,0.99898,0.99868,0.99896,0.99896,0.000144147036043065,0.000144147036043065,0.000142755707416553,0.00016237349537409,0.000144147036043065,0.000144147036043065,0.89872,0.04972,0.05156
