"grid","design","panel","sd_per_group","group_mean_offsets","psi","c_kw_psi"
"etaH_fixed","unbalanced n, equal SD",3,"1.0, 1.0, 1.0, 1.0","0.0000, 0.2583, 0.5166, 0.7749","0.3903, 0.4635, 0.5365, 0.6097",0.0267237499995281
"etaH_fixed","unbalanced n, equal SD",4,"1.0, 1.0, 1.0, 1.0","0.0000, 0.2472, 0.4944, 0.7416","0.3891, 0.4629, 0.5372, 0.6107",0.0273086809984111
"etaH_fixed","unbalanced n, equal SD",5,"1.0, 1.0, 1.0, 1.0","0.0000, 0.1914, 0.3827, 0.5741","0.3904, 0.4621, 0.5375, 0.6100",0.0269339073140215
"etaH_fixed","balanced n, unequal SD",1,"1.0, 1.3, 1.7, 2.2","0.0000, 0.4007, 0.8015, 1.2022","0.3886, 0.4741, 0.5444, 0.5929",0.0236740548061643
"etaH_fixed","balanced n, unequal SD",2,"1.0, 1.3, 1.7, 2.2","0.0000, 0.3082, 0.6164, 0.9247","0.3879, 0.4757, 0.5428, 0.5936",0.0237478274177778
"etaH_fixed","balanced n, unequal SD",3,"1.0, 1.3, 1.7, 2.2","0.0000, 0.4108, 0.8216, 1.2324","0.3875, 0.4759, 0.5440, 0.5926",0.0237525636847525
"etaH_fixed","balanced n, unequal SD",4,"1.0, 1.3, 1.7, 2.2","0.0000, 0.4427, 0.8853, 1.3280","0.3868, 0.4775, 0.5456, 0.5901",0.0235282747189653
"etaH_fixed","balanced n, unequal SD",5,"1.0, 1.3, 1.7, 2.2","0.0000, 0.4089, 0.8179, 1.2268","0.3834, 0.4819, 0.5481, 0.5865",0.0237255781462426
"etaH_fixed","unbalanced n, larger n with larger SD",1,"1.0, 1.3, 1.7, 2.2","0.0000, 0.4527, 0.9054, 1.3581","0.3759, 0.4722, 0.5487, 0.6031",0.0291672963625403
"etaH_fixed","unbalanced n, larger n with larger SD",2,"1.0, 1.3, 1.7, 2.2","0.0000, 0.3497, 0.6994, 1.0491","0.3753, 0.4721, 0.5489, 0.6037",0.0294723726643059
"etaH_fixed","unbalanced n, larger n with larger SD",3,"1.0, 1.3, 1.7, 2.2","0.00, 0.46, 0.92, 1.38","0.3735, 0.4733, 0.5496, 0.6036",0.0299044236640972
"etaH_fixed","unbalanced n, larger n with larger SD",4,"1.0, 1.3, 1.7, 2.2","0.0000, 0.4900, 0.9799, 1.4699","0.3726, 0.4750, 0.5512, 0.6012",0.0297288032020429
"etaH_fixed","unbalanced n, larger n with larger SD",5,"1.0, 1.3, 1.7, 2.2","0.0000, 0.4474, 0.8948, 1.3422","0.3685, 0.4784, 0.5523, 0.6008",0.0306778065967714
"etaH_fixed","unbalanced n, larger n with smaller SD",1,"2.2, 1.7, 1.3, 1.0","0.0000, 0.4114, 0.8228, 1.2342","0.4051, 0.4555, 0.5255, 0.6139",0.0246322241893829
"etaH_fixed","unbalanced n, larger n with smaller SD",2,"2.2, 1.7, 1.3, 1.0","0.0000, 0.3178, 0.6357, 0.9535","0.4047, 0.4556, 0.5253, 0.6144",0.024782812671314
"etaH_fixed","unbalanced n, larger n with smaller SD",3,"2.2, 1.7, 1.3, 1.0","0.0000, 0.3592, 0.7185, 1.0777","0.4034, 0.4557, 0.5268, 0.6141",0.0250251269326943
"etaH_fixed","unbalanced n, larger n with smaller SD",4,"2.2, 1.7, 1.3, 1.0","0.0000, 0.3095, 0.6191, 0.9286","0.4024, 0.4562, 0.5286, 0.6128",0.0249781594464997
"etaH_fixed","unbalanced n, larger n with smaller SD",5,"2.2, 1.7, 1.3, 1.0","0.0000, 0.1863, 0.3726, 0.5589","0.4006, 0.4579, 0.5313, 0.6103",0.0248038623685803
"typeI","balanced n, equal SD",1,"1.0, 1.0, 1.0, 1.0","0, 0, 0, 0","0.5001, 0.5006, 0.4994, 0.5000",7.1609735034533e-07
"typeI","balanced n, equal SD",2,"1.0, 1.0, 1.0, 1.0","0, 0, 0, 0","0.5008, 0.5002, 0.4999, 0.4990",1.77203304345066e-06
"typeI","balanced n, equal SD",3,"1.0, 1.0, 1.0, 1.0","0, 0, 0, 0","0.5000, 0.5002, 0.5004, 0.4994",5.81598257451266e-07
"typeI","balanced n, equal SD",4,"1.0, 1.0, 1.0, 1.0","0, 0, 0, 0","0.5004, 0.4992, 0.4995, 0.5009",1.73016011920135e-06
"typeI","balanced n, equal SD",5,"1.0, 1.0, 1.0, 1.0","0, 0, 0, 0","0.4986, 0.5005, 0.5004, 0.5004",2.54180664119811e-06
"typeI","balanced n, unequal SD",1,"1.0, 1.3, 1.7, 2.2","0, 0, 0, 0","0.4999, 0.5000, 0.4993, 0.5008",1.14971197374551e-06
"typeI","balanced n, unequal SD",2,"1.0, 1.3, 1.7, 2.2","0, 0, 0, 0","0.4997, 0.4999, 0.4996, 0.5008",9.32603722875626e-07
"typeI","balanced n, unequal SD",3,"1.0, 1.3, 1.7, 2.2","0, 0, 0, 0","0.5115, 0.5036, 0.4961, 0.4889",0.000283639577317237
"typeI","balanced n, unequal SD",4,"1.0, 1.3, 1.7, 2.2","0, 0, 0, 0","0.5249, 0.5087, 0.4912, 0.4752",0.00139040813284832
"typeI","balanced n, unequal SD",5,"1.0, 1.3, 1.7, 2.2","0, 0, 0, 0","0.5514, 0.5188, 0.4810, 0.4489",0.00596507032093347
"typeI","unbalanced n, equal SD",1,"1.0, 1.0, 1.0, 1.0","0, 0, 0, 0","0.5002, 0.4993, 0.4988, 0.5016",4.37197580869188e-06
"typeI","unbalanced n, equal SD",2,"1.0, 1.0, 1.0, 1.0","0, 0, 0, 0","0.4997, 0.5001, 0.5000, 0.5003",1.77416542140647e-07
"typeI","unbalanced n, equal SD",3,"1.0, 1.0, 1.0, 1.0","0, 0, 0, 0","0.5001, 0.5002, 0.5002, 0.4994",4.26299728754793e-07
"typeI","unbalanced n, equal SD",4,"1.0, 1.0, 1.0, 1.0","0, 0, 0, 0","0.5001, 0.5002, 0.5008, 0.4989",1.98469764490985e-06
"typeI","unbalanced n, equal SD",5,"1.0, 1.0, 1.0, 1.0","0, 0, 0, 0","0.5003, 0.4994, 0.5012, 0.4991",2.61864564830321e-06
"typeI","unbalanced n, larger n with larger SD",1,"1.0, 1.3, 1.7, 2.2","0, 0, 0, 0","0.5002, 0.4994, 0.5003, 0.5001",5.30810654272207e-07
"typeI","unbalanced n, larger n with larger SD",2,"1.0, 1.3, 1.7, 2.2","0, 0, 0, 0","0.5000, 0.5005, 0.4993, 0.5003",8.44361113018406e-07
"typeI","unbalanced n, larger n with larger SD",3,"1.0, 1.3, 1.7, 2.2","0, 0, 0, 0","0.5109, 0.5030, 0.4960, 0.4902",0.000239480209579688
"typeI","unbalanced n, larger n with larger SD",4,"1.0, 1.3, 1.7, 2.2","0, 0, 0, 0","0.5244, 0.5087, 0.4906, 0.4764",0.0013175077822958
"typeI","unbalanced n, larger n with larger SD",5,"1.0, 1.3, 1.7, 2.2","0, 0, 0, 0","0.5512, 0.5183, 0.4825, 0.4480",0.00597065632537354
"typeI","unbalanced n, larger n with smaller SD",1,"2.2, 1.7, 1.3, 1.0","0, 0, 0, 0","0.5000, 0.5009, 0.4995, 0.4996",1.31621619934009e-06
"typeI","unbalanced n, larger n with smaller SD",2,"2.2, 1.7, 1.3, 1.0","0, 0, 0, 0","0.5007, 0.4992, 0.4998, 0.5002",1.25933425724852e-06
"typeI","unbalanced n, larger n with smaller SD",3,"2.2, 1.7, 1.3, 1.0","0, 0, 0, 0","0.4891, 0.4964, 0.5037, 0.5108",0.000261947381665542
"typeI","unbalanced n, larger n with smaller SD",4,"2.2, 1.7, 1.3, 1.0","0, 0, 0, 0","0.4743, 0.4905, 0.5095, 0.5257",0.00149810242796814
"typeI","unbalanced n, larger n with smaller SD",5,"2.2, 1.7, 1.3, 1.0","0, 0, 0, 0","0.4488, 0.4822, 0.5183, 0.5507",0.00584746941621331
