"design","effect_size","group_mean_offsets","sd_per_group","n_vector","n_per_group","distribution","panel","skew","excess_kurtosis","rank_power","ps_kw_power","ps_kw_mc_se","ps_ats_power","ps_ats_mc_se"
"unbalanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0","100, 160, 240, 300",200,"F.P.",5,2,6.6,1,1,0,1,0
"balanced n, unequal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","1.0, 1.3, 1.7, 2.2","10, 10, 10, 10",10,"normal",1,0,0,0.2369,0.23826,0.00190521480363764,0.23912,0.00190757241330441
"balanced n, unequal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","1.0, 1.3, 1.7, 2.2","10, 10, 10, 10",10,"F.P.",2,0,6,0.38018,0.3837,0.00217473819113934,0.38588,0.00217704674088546
"balanced n, unequal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","1.0, 1.3, 1.7, 2.2","10, 10, 10, 10",10,"F.P.",3,0.5,1,0.22524,0.22536,0.0018685441948212,0.22828,0.00187706282047245
"balanced n, unequal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","1.0, 1.3, 1.7, 2.2","10, 10, 10, 10",10,"F.P.",4,1,1.6,0.18634,0.1894,0.00175229928950508,0.19268,0.00176382775576302
"balanced n, unequal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","1.0, 1.3, 1.7, 2.2","10, 10, 10, 10",10,"F.P.",5,2,6.6,0.22542,0.22376,0.0018638211416335,0.23122,0.00188550954174197
"balanced n, unequal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","1.0, 1.3, 1.7, 2.2","20, 20, 20, 20",20,"normal",1,0,0,0.48944,0.48782,0.00223540442694381,0.4826,0.00223471358343748
"balanced n, unequal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","1.0, 1.3, 1.7, 2.2","20, 20, 20, 20",20,"F.P.",2,0,6,0.72798,0.72764,0.0019908793554608,0.7254,0.00199597014005721
"balanced n, unequal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","1.0, 1.3, 1.7, 2.2","20, 20, 20, 20",20,"F.P.",3,0.5,1,0.4639,0.46644,0.00223102544315389,0.4642,0.00223032894434879
"balanced n, unequal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","1.0, 1.3, 1.7, 2.2","20, 20, 20, 20",20,"F.P.",4,1,1.6,0.38888,0.39312,0.00218438396624769,0.39186,0.00218314333198716
"balanced n, unequal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","1.0, 1.3, 1.7, 2.2","20, 20, 20, 20",20,"F.P.",5,2,6.6,0.46274,0.4623,0.00222970271561031,0.46646,0.00223103145831698
"balanced n, unequal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","1.0, 1.3, 1.7, 2.2","30, 30, 30, 30",30,"normal",1,0,0,0.69068,0.69334,0.00206213309172808,0.68516,0.0020770930378777
